distance,temp,time
4,20.4,745
16,26.4,1993
3,,455
9,19.2,1341
9,15.4,1214
9,27.2,3191
5,20.3,1380
3,28.7,646
9,,3398
14,24.6,3439
9,16.4,1056
17,26.1,3898
10,24.6,2642
21,20.9,2904
1,,407
13,,1906
17,,2308
13,24.4,2639
5,24.4,1570
5,19.4,4220
7,20.8,1112
24,23.3,2124
11,18.1,1488
10,20.8,1404
3,22.5,3617
13,27.2,2606
5,26.5,1149
17,27.3,1731
9,25.6,3241
1,20.5,713
20,18.8,2221
11,16.1,2966
12,,1823
12,25.3,1484
3,22.3,820
7,25.3,1629
4,26.3,2
8,29.2,1382
9,20,1984
16,18,1941
21,21.6,2631
8,24.8,3805
16,,2087
21,23,1540
9,28.1,2126
2,14.7,628
8,,1519
18,25,2172
15,26.7,1685
12,,1617
11,23,1641
19,17.6,2029
3,22.7,4
8,,1055
28,19.2,1835
8,23.9,2093
10,24.7,1898
8,,1141
18,28.2,2827
8,19.1,1220
8,24.6,2347
2,20.1,838
9,26.3,1019
14,17.7,1211
11,17.3,1296
11,,4293
3,21.9,957
2,24.5,390
4,26.9,490
9,18.4,994
4,,2786
7,22,847
6,25.7,1661
4,,595
15,23.7,1962
11,25.8,2873
19,25.6,1671
19,16.2,2242
19,31,2727
15,28.2,4025
14,26.2,2918
5,25.7,14
8,28.6,679
5,19.3,801
11,,1361
8,25.2,1349
4,,4
23,24,2919
12,25.5,1147
3,,919
14,23.6,1848
5,30.1,748
9,23.9,3687
7,26.7,824
18,22.8,5105
5,25.8,1487
4,25.2,1694
6,,1307
20,,2621
4,19.3,1196
4,,744
6,27.7,1364
4,21.3,328
11,28.6,1495
6,19.7,1693
14,,1914
9,,2053
10,23.7,1649
15,14.5,2008
10,,1559
4,25.2,215
7,30.8,2016
6,,1052
17,23.8,1979
2,21.7,376
9,24.6,2057
16,27.7,2216
6,19.1,1311
19,24.2,2430
14,25.9,1431
8,21.2,1588
6,18.9,463
20,17.9,1491
10,18.7,1595
8,20,1744
4,25.4,737
4,22.9,16
6,,1019
7,25.2,1321
48,27.8,5530
7,25,2380
8,22.6,1421
19,,2284
14,26.7,1715
7,,770
6,17.6,1660
4,22.7,1042
22,18.6,2128
14,,1948
15,26,2426
9,22.9,2690
6,21.1,1418
21,24.9,2457
5,25.6,2395
15,23.9,1286
5,24.4,933
5,25.4,712
15,22.6,3189
12,26.7,1586
14,26,1732
7,23.7,1311
7,,2106
10,24.5,1429
8,23.8,1191
14,26,1647
14,,2412
10,22.7,1653
4,20.3,922
3,22.6,1163
10,24.4,20
9,23.9,1982
8,18.5,882
18,25.8,2994
10,26.2,1361
12,23.9,1492
8,,3021
15,20.4,1317
20,,2288
5,18.7,8
13,,2391
10,20.3,2638
4,15.3,934
11,23.8,1295
16,27.5,1387
15,22.4,4709
11,21.3,2755
13,28.2,2750
8,29.6,1376
14,24.2,2277
8,19.9,921
4,,698
21,,3128
3,,3124
11,27.6,1658
4,23.7,682
11,24.6,5391
15,25.9,1557
6,,1230
1,18.9,455
3,,1819
5,,1086
9,,1423
15,23.8,2377
29,,3082
8,22.4,1590
29,17.3,4748
11,19.8,2761
3,27.5,879
15,24.9,2065
15,23.6,2191
12,22.7,985
8,,3342
23,25.7,2947
6,20.6,980
8,16.8,776
17,,1512
6,18.4,1267
10,23.6,1398
17,,2048
8,20,1394
5,27.4,682
9,19.1,1050
3,27.5,1551
16,24.1,2521
7,18.5,1061
15,24.2,2640
9,21.9,1028
5,,2083
16,21.1,4033
6,27.2,1196
6,19.7,930
9,22.5,858
2,22.1,741
26,23.1,3704
8,25.3,1169
5,25.4,619
9,27,929
5,27,1844
6,24.1,1312
17,29.2,1846
5,19.4,1203
8,29.8,1464
7,,813
8,,737
6,22.6,1045
20,18.8,1878
10,,2137
8,,3308
11,,1309
11,,1812
11,20.3,1424
15,25,239
6,22.5,527
2,19.6,770
11,20.9,4674
7,26.3,1233
10,,111
20,27.5,2307
8,,1799
11,,1019
7,20.5,930
6,28.6,526
10,21.8,1476
27,22.8,2701
3,21.6,746
13,,1706
4,21.7,491
20,21.1,2998
3,,2830
8,18.6,2269
10,19.6,2096
9,22.9,1139
9,,1295
3,24.7,13
8,21.2,2244
12,19.8,2192
18,27.7,2791
3,18.1,516
5,25.1,900
19,26.7,3410
10,25.4,1142
13,,2072
12,24.7,1376
9,23.8,2162
4,,862
16,17.6,1419
1,,745
13,16.9,1531
5,19.8,720
5,,3405
7,26.4,1179
15,30,850
6,22.6,1424
11,25.4,1658
9,19.1,2539
4,22.1,879
9,22,1759
20,15.4,2405
18,25.7,1905
4,16.8,2049
15,20.4,343
8,,1053
6,24.6,1701
9,23.5,1209
9,20.8,1415
12,24.7,1412
16,25.1,2932
8,28.2,890
5,23.2,1955
4,22.6,910
2,22.1,953
9,22.3,2
5,,1013
15,24.9,1516
1,26.6,12
4,28.5,487
13,,1410
18,27.6,2591
7,26.5,2
8,17.8,1280
2,30.5,1833
16,24.7,1814
2,26.7,481
19,24.7,3392
11,28.2,1204
10,,2383
8,,1201
13,,1487
10,24.5,1076
8,20,1152
32,,4343
10,25.7,2982
5,22.3,2024
4,20.9,838
5,26,1205
8,15.1,897
18,24.1,2286
28,22.5,5155
4,21,1754
4,26.6,1183
3,24.7,640
8,24.4,1448
6,,775
7,,1331
11,20.8,1341
17,18.4,2322
8,18.4,1414
4,,3397
14,21.6,1720
22,29.6,2885
2,18.4,493
7,26.3,1168
8,20.3,1471
11,16,1195
13,22.1,1259
15,26.8,1498
5,25.4,711
5,25.8,649
8,23,2828
5,18.5,4755
7,,3758
13,24.5,1722
5,26.8,797
18,23.7,1985
7,30.8,1230
2,23.5,7
4,26.3,1056
3,27.2,579
14,26.5,3220
8,24.3,1504
9,23,1459
14,21,1257
8,19.6,1073
15,,2688
1,18.3,851
4,27.1,956
6,24.7,901
10,,1094
11,,1851
10,,938
3,26.4,808
8,27.5,2043
10,22.5,932
11,25,1491
14,,1069
9,20.4,2288
3,19.3,2672
14,22.7,2400
3,23.2,802
11,24.3,1826
8,21.8,5
1,27.8,2997
3,27.8,719
1,19.7,513
5,27.1,508
10,21.1,1531
16,,1354
5,27.8,2
7,19.1,633
5,25.7,1165
8,20.7,874
5,,876
3,26.5,935
17,24,1778
18,18.2,1949
7,26.4,3017
2,20.3,974
11,23.4,1721
16,23.4,4014
10,14.8,3029
17,26.5,1422
4,17.9,714
11,,2649
21,19.6,2309
9,28.1,417
8,24,1511
10,16.2,1580
11,26.2,3
11,23.3,1485
5,,692
10,24.8,853
15,17.9,2130
8,27.2,837
14,20.5,1610
22,19.6,2330
8,28.7,6
3,17.6,233
2,28.2,104
17,26.4,2324
5,22.3,1214
4,,760
8,27.3,1387
7,19.1,831
29,26.2,4056
6,20.6,1393
4,,571
8,24.8,1561
6,,1143
5,18.9,923
16,25.2,1192
12,25.3,673
5,,751
10,25.2,2785
15,24,3349
7,22.5,1431
7,19.4,1116
6,21.3,1641
15,,1442
5,,4246
16,26,3111
2,22.1,651
8,15.8,1445
11,,1537
16,25.8,1576
12,14.5,4241
3,,12
8,23.8,1178
7,18.2,68
4,28.5,9
5,28.4,923
12,25.7,2399
25,23.8,245
7,22.8,1487
14,22.3,2002
8,23.7,3581
9,27.1,1187
13,28.2,1988
10,23.3,1484
22,25.3,2587
30,21.1,2289
2,21.1,660
6,18,881
4,,1493
21,21.4,2174
5,24.2,952
8,26.6,1979
9,20.1,1089
3,24,598
4,17.5,484
5,23.7,636
7,19.1,1151
3,23.7,858
8,18.6,1522
15,25.3,2382
9,,1079
3,,2
4,24.8,548
15,26.6,4408
8,19.3,997
14,25.1,1718
17,,2949
12,,1616
4,24.5,950
3,25.8,416
13,22.3,2038
6,21.3,1115
7,19.2,781
7,29.2,1034
12,,1631
14,26.5,4284
15,21.3,1297
6,18.1,1027
1,,387
14,18.7,1001
8,28.5,2925
5,26.2,665
9,22.7,1887
6,,3796
10,24.3,1544
6,24.3,4415
16,22,2165
3,29,7
7,22.8,1339
2,28.4,576
21,23,3537
23,24.3,2172
8,19.5,3084
8,23.5,1521
19,22.6,1926
18,27,2122
4,24.6,2015
10,18.4,1811
17,,1346
3,22.6,337
4,,643
13,27.9,1692
15,23.1,2993
12,23.1,1784
19,30.8,3515
11,22.2,824
9,18.2,1737
8,21.2,1259
14,22.4,2027
8,,2338
19,25,2344
14,25.4,2092
14,28.7,4521
9,,1245
5,24.2,925
10,23.5,1883
16,17.5,2160
12,28,1787
17,,3618
8,,1408
8,21.6,1315
19,20.2,1950
10,20.1,1168
5,23.7,1402
4,21.6,842
5,29.1,2143
8,20.5,965
11,25.4,4341
8,21,3428
7,27.3,1166
6,22.2,470
5,28.4,686
10,18.4,1954
8,,1998
5,,1088
3,24.7,642
12,,1527
17,24.5,1951
21,24.3,3268
8,19.8,1051
6,26.3,1454
16,17.3,2065
8,22,898
18,27.7,2492
22,,2990
10,23.6,1639
9,24,524
10,17.1,990
19,24.6,4948
11,,6
8,25.1,1415
9,24.2,1576
3,24.4,482
7,22.6,1842
3,18.5,533
12,24.9,4756
14,23.8,1787
7,,1122
16,27.8,2561
8,29.9,1367
9,,1129
12,,4522
2,,528
9,23.6,1249
7,19.6,1499
8,25,1462
9,22.9,1103
9,18.8,1664
1,26.3,313
14,19.1,3362
20,27.9,3756
8,18.7,1914
9,21.6,4236
8,26.7,837
13,24.5,1237
7,,2084
12,19.5,3083
4,,589
15,19.3,2009
1,24.5,3
9,21.6,3364
11,,50
6,,908
8,23.9,971
2,20.9,2
26,,2
4,25.1,486
21,20.9,2208
6,22.3,1137
6,,584
3,25.2,876
9,19.3,1945
8,,1541
4,26.5,2
5,28.1,4535
6,23,841
3,23,1591
8,22.8,1375
13,28.2,2918
18,18.2,3205
8,,1102
3,25.4,480
7,24.6,1183
6,20.1,989
14,28.5,1321
9,24.1,1163
8,19.3,1390
11,25.5,1358
15,27.2,2991
12,,1675
6,16,1444
21,21.8,3163
18,29,2717
24,22,2325
9,18.1,922
8,24.3,970
11,28.5,1678
15,25.7,1962
20,15.6,2399
8,16.8,1181
4,25.1,2272
13,27.7,2
12,19.2,1225
13,23.4,1385
5,20.5,628
11,18.6,1539
19,20.2,2774
8,25.8,1004
11,19.6,1558
8,,1413
5,26.9,782
9,21.2,2642
8,23,2163
19,24,1848
4,22.3,2
3,19.9,1960
15,22.5,4650
4,18.7,953
11,27.9,1301
1,,642
6,,1998
17,,3091
9,19.3,1401
18,26,2950
5,,994
18,23,3228
13,23.6,1511
10,23.7,1295
9,22,1917
3,18,1134
6,,754
7,,1702
5,23.1,916
6,23.8,1069
4,30.8,705
14,31.8,1757
11,17.8,2618
6,28.3,1897
1,,209
8,20.7,1360
9,25,1105
8,21.9,1192
21,30.7,2242
16,20.4,2570
21,,2043
8,21.2,907
8,,550
6,,2042
8,,3906
5,,1411
23,27.4,2979
7,27.6,923
19,19.9,1581
7,22,2640
14,,2244
6,17.2,1027
29,,3873
2,24.3,158
8,,1102
11,23.5,1301
5,,1688
18,18.3,1412
4,25.5,922
7,22.8,2060
2,22.2,745
10,29.1,2096
12,24.8,1967
14,21.2,1641
4,,14
7,22.9,1446
5,16.9,760
20,19.8,2949
5,18.5,901
20,29.7,5565
9,27.7,1227
4,16.8,894
7,24.5,1184
5,24.1,2166
3,25.5,28
6,24.9,1345
4,24.4,2248
5,25.5,800
11,25.7,1308
3,21,112
9,20.8,966
7,24.1,916
16,,1923
12,28.2,2464
1,26.4,5
20,27.6,2652
7,,1176
3,,566
8,26.9,1258
5,25.1,870
10,25.2,1747
16,16.7,2108
3,22.2,9
3,25.7,889
13,27.2,1309
15,19.2,3545
5,21.8,854
4,24.1,9
